param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:25:34	526.781921386719	2.56233032226563	1.83953033268102	2.4853228962818		0.0557029177718834	0	1	37.1819953918457	6.20352250489237	
14.02.2018_1:25:36	526.781921386719	2.56233032226563	1.85909980430528	2.4853228962818		0.0582010582010575	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:25:37	526.781921386719	2.56233032226563	1.85909980430528	2.50489236790607	0.0606860158311331	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:25:38	526.885803222656	2.56233032226563	1.83953033268102	2.4853228962818		0.0634920634920625	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:25:40	526.885803222656	2.56233032226563	1.83953033268102	2.4853228962818		0.0634920634920625	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:25:41	526.885803222656	2.56233032226563	1.83953033268102	2.4853228962818		0.0663129973474796	0	1	37.1819953918457	6.1839530332681		
14.02.2018_1:25:43	526.885803222656	2.56233032226563	1.83953033268102	2.4853228962818		0.0663129973474796	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:25:44	526.885803222656	2.56233032226563	1.85909980430528	2.50489236790607	0.0634920634920625	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:46	526.885803222656	2.56233032226563	1.83953033268102	2.4853228962818		0.0582010582010575	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:25:47	526.989624023438	2.56233032226563	1.85909980430528	2.50489236790607	0.0582010582010575	0	1	37.1819953918457	6.20352250489237	
14.02.2018_1:25:48	526.989624023438	2.56233032226563	1.83953033268102	2.4853228962818		0.0582010582010575	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:50	526.989624023438	2.56233032226563	1.85909980430528	2.50489236790607	0.0582010582010575	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:25:51	526.989624023438	2.56233032226563	1.85909980430528	2.50489236790607	0.0582010582010575	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:25:53	526.989624023438	2.56233032226563	1.85909980430528	2.50489236790607	0.0582010582010575	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:25:54	526.989624023438	2.56233032226563	1.85909980430528	2.50489236790607	0.0526315789473694	0	1	37.0841484069824	6.22309197651663	
14.02.2018_1:25:55	527.093688964844	2.56233032226563	1.85909980430528	2.50489236790607	0.0554089709762535	0	1	36.9863014221191	6.22309197651663	
14.02.2018_1:25:57	527.093688964844	2.56233032226563	1.85909980430528	2.50489236790607	0.0526315789473694	0	1	37.1819953918457	6.22309197651663	
14.02.2018_1:25:58	527.093688964844	2.56233032226563	1.85909980430528	2.50489236790607	0.0554089709762535	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:26:00	527.093688964844	2.56233032226563	1.85909980430528	2.4853228962818		0.0476190476190489	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:26:01	527.093688964844	2.56233032226563	1.85909980430528	2.50489236790607	0.0476190476190489	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:26:03	527.093688964844	2.56233032226563	1.83953033268102	2.4853228962818		0.0476190476190489	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:26:04	527.19775390625		2.56233032226563	1.85909980430528	2.4853228962818		0.0476190476190489	0	1	37.1819953918457	6.20352250489237	
